;;;p;pLabel;pContent;pAlias;pWikilink;"pPicture;"
People;Nobel Peace Prize Winners;1930 - 1939;http://www.wikidata.org/entity/Q271517;Nicholas Murray Butler;American philosopher, diplomat, and educator;;https://en.wikipedia.org/wiki/Nicholas%20Murray%20Butler;"http://commons.wikimedia.org/wiki/Special:FilePath/Nicholas%20Murray%20Butler%201924.jpg;"
People;Nobel Peace Prize Winners;1930 - 1939;http://www.wikidata.org/entity/Q272224;Norman Angell;British politician;Ralph Norman Angell, Sir Ralph Norman Angell Lane;https://en.wikipedia.org/wiki/Norman%20Angell;"http://commons.wikimedia.org/wiki/Special:FilePath/Norman%20Angell%2001.jpg;"
People;Nobel Peace Prize Winners;1930 - 1939;http://www.wikidata.org/entity/Q208665;Arthur Henderson;British politician;;https://en.wikipedia.org/wiki/Arthur%20Henderson;"http://commons.wikimedia.org/wiki/Special:FilePath/Arthurhenderson.jpg;"
People;Nobel Peace Prize Winners;1930 - 1939;http://www.wikidata.org/entity/Q76358;Carl von Ossietzky;German journalist, author, pacifist and recipient of the 1935 Nobel Peace Prize;;https://en.wikipedia.org/wiki/Carl%20von%20Ossietzky;"http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20von%20Ossietzky.jpg;"
People;Nobel Peace Prize Winners;1930 - 1939;http://www.wikidata.org/entity/Q193672;Carlos Saavedra Lamas;Argentine politician;;https://en.wikipedia.org/wiki/Carlos%20Saavedra%20Lamas;"http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Saavedra%20Lamas.jpg;"
People;Nobel Peace Prize Winners;1930 - 1939;http://www.wikidata.org/entity/Q12702;Robert Cecil;lawyer, politician and diplomat in the United Kingdom;Edgar Algernon Robert Gascoyne Viscount Cecil of Chelwood, Edgar Algernon Robert Gascoyne-Cecil, Lord Robert Cecil, Robert Cecil, 1st Viscount Cecil of Chelwood;https://en.wikipedia.org/wiki/Robert%20Cecil%2C%201st%20Viscount%20Cecil%20of%20Chelwood;"http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Cecil%2C%201st%20Viscount%20Cecil%20of%20Chelwood%20-%20Project%20Gutenberg%20eText%2015306.jpg;"
People;Nobel Peace Prize Winners;1940 - 1949;http://www.wikidata.org/entity/Q202979;Cordell Hull;American politician;;https://en.wikipedia.org/wiki/Cordell%20Hull;"http://commons.wikimedia.org/wiki/Special:FilePath/Hull-Cordell-LOC.jpg;"
People;Nobel Peace Prize Winners;1940 - 1949;http://www.wikidata.org/entity/Q159726;John Mott;American saint;John Raleigh Mott;https://en.wikipedia.org/wiki/John%20Mott;"http://commons.wikimedia.org/wiki/Special:FilePath/John%20Raleigh%20Mott%2C%201910.jpg;"
People;Nobel Peace Prize Winners;1940 - 1949;http://www.wikidata.org/entity/Q315143;John Boyd Orr, 1st Baron Boyd-Orr;Scottish nutritionist, Director-General of the United Nations Food and Agriculture Organization;Lord Boyd Orr of Brechin;https://en.wikipedia.org/wiki/John%20Boyd%20Orr%2C%201st%20Baron%20Boyd-Orr;"http://commons.wikimedia.org/wiki/Special:FilePath/John%20Boyd%20Orr%20nobel.jpg;"
People;Nobel Peace Prize Winners;1950 - 1959;http://www.wikidata.org/entity/Q213500;Ralph Bunche;American diplomat;Ralph J. Bunche, Ralph Johnson Bunche;https://en.wikipedia.org/wiki/Ralph%20Bunche;"http://commons.wikimedia.org/wiki/Special:FilePath/Ralph%20Bunche%20-%201963%20March%20on%20Washington.jpg;"
