p,pLabel,pContent,pAlias,pWikilink,reignstart,reignend,pPicture
http://www.wikidata.org/entity/Q103101,Julius I,pope,"Iulius I, Julius, Pope Julius I",https://en.wikipedia.org/wiki/Pope%20Julius%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Iulius%20I.jpg
http://www.wikidata.org/entity/Q102105,Liberius,pope,Pope Liberius,https://en.wikipedia.org/wiki/Pope%20Liberius,,,http://commons.wikimedia.org/wiki/Special:FilePath/Liberio%20papa1.gif
http://www.wikidata.org/entity/Q130997,Damasus I,pope,"Damasus, Pope Damasus I",https://en.wikipedia.org/wiki/Pope%20Damasus%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saintdamasus.jpg
http://www.wikidata.org/entity/Q161443,Siricius,pope,Pope Siricius,https://en.wikipedia.org/wiki/Pope%20Siricius,,,http://commons.wikimedia.org/wiki/Special:FilePath/Siricius.jpg
http://www.wikidata.org/entity/Q134682,Anastasius I,pope,"Anastasius, Pope Anastasius I",https://en.wikipedia.org/wiki/Pope%20Anastasius%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anastasius%20I.jpg
http://www.wikidata.org/entity/Q134694,Innocent I,pope,"Innocent, ‏ papa Innocenzo‏ I, Innocentius I, Pope Innocent I, Pope, Saint Innocent I, Saint Innocent I, Saint, Pope Innocentius I, santo Innocentius PP. I",https://en.wikipedia.org/wiki/Pope%20Innocent%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Innocentius%20I.jpg
http://www.wikidata.org/entity/Q162571,Zosimus,pope,Pope Zosimus,https://en.wikipedia.org/wiki/Pope%20Zosimus,,,http://commons.wikimedia.org/wiki/Special:FilePath/Zosimus.jpg
http://www.wikidata.org/entity/Q160907,Boniface I,pope,"Boniface, Bonifacius I, Pope Boniface I",https://en.wikipedia.org/wiki/Pope%20Boniface%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Boniface%20I.jpg
http://www.wikidata.org/entity/Q160922,Celestine I,pope,"Caelestinus I, Pope Celestine I",https://en.wikipedia.org/wiki/Pope%20Celestine%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Coelestinus%20I.png
http://www.wikidata.org/entity/Q167065,Sixtus III,pope,Pope Sixtus III,https://en.wikipedia.org/wiki/Pope%20Sixtus%20III,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope-Sixtus-III.jpg
http://www.wikidata.org/entity/Q43954,Leo I,Pope from 440 to 461,"Leo, de Grote Leo, der Grosse, Saint Leo, Leo I. Papst, Leo the Great, Magno, Saint Leone, Magnus, santo Leo PP. I, Papa Leo I, papa Leone I, Papa, Santo León I, Pope Leo I, Pope Saint Leo I the Great, Pope St. Leo I",https://en.wikipedia.org/wiki/Pope%20Leo%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/StLeo%20I.JPG
http://www.wikidata.org/entity/Q172377,Hilarius,pope,"Hilarus, Hilarus Papst, Pope Hilarius, Pope Hilary, Pope Saint Hilarus, Pope, Saint Hilary, Saint Hilary",https://en.wikipedia.org/wiki/Pope%20Hilarius,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nuremberg%20chronicles%20-%20Hilarius%2C%20Pope%20%28CXXXVIv%29.jpg
http://www.wikidata.org/entity/Q168741,Simplicius,pope,Pope Simplicius,https://en.wikipedia.org/wiki/Pope%20Simplicius,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sansimpliciopapa.jpg
http://www.wikidata.org/entity/Q174029,Felix III,pope (483-492),"Felix II, Pope Felix II, Pope Felix III, Pope St. Felix III, Pope, Saint Felix III or II, Saint Felix III",https://en.wikipedia.org/wiki/Pope%20Felix%20III,,,http://commons.wikimedia.org/wiki/Special:FilePath/Felix3.jpg
http://www.wikidata.org/entity/Q162135,Gelasius I,pope,Pope Gelasius I,https://en.wikipedia.org/wiki/Pope%20Gelasius%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Gelasio%20I.jpg
http://www.wikidata.org/entity/Q132786,Anastasius II,pope,Pope Anastasius II,https://en.wikipedia.org/wiki/Pope%20Anastasius%20II,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anastasius%20II.jpg
http://www.wikidata.org/entity/Q160935,Symmachus,Pope from 498 to 514,Pope Symmachus,https://en.wikipedia.org/wiki/Pope%20Symmachus,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Symmachus%20-%20Apse%20mosaic%20-%20Sant%27Agnese%20fuori%20le%20mura%20-%20Rome%202016.jpg
http://www.wikidata.org/entity/Q160931,Hormisdas,pope,Pope Hormisdas,https://en.wikipedia.org/wiki/Pope%20Hormisdas,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Hormisdas.jpg
http://www.wikidata.org/entity/Q160916,John I,pope,"John, Ioannes I, Pope John, Pope John I",https://en.wikipedia.org/wiki/Pope%20John%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20I.jpg
http://www.wikidata.org/entity/Q162080,Felix IV,pope (526-530),"Felix III, Felix IV. Papa, Pope Felix III, Pope Felix IV, Pope St. Felix IV, Saint Felix IV",https://en.wikipedia.org/wiki/Pope%20Felix%20IV,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mosaic%20of%20Felix%20IV%20%28III%29%20in%20Santi%20Cosma%20e%20Damiano%2C%20Rome%2C%20Italy%20%28527%E2%80%93530%29.jpg
http://www.wikidata.org/entity/Q103300,Boniface II,pope,Pope Boniface II,https://en.wikipedia.org/wiki/Pope%20Boniface%20II,,,http://commons.wikimedia.org/wiki/Special:FilePath/Boniface%20II.jpg
http://www.wikidata.org/entity/Q168736,John II,pope,"Ioannes II, Mercurius, Pope John II",https://en.wikipedia.org/wiki/Pope%20John%20II,,,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20II.jpg
http://www.wikidata.org/entity/Q160900,Agapetus I,pope,"Agapetus, Pope Agapetus, Pope Agapetus I",https://en.wikipedia.org/wiki/Pope%20Agapetus%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Agapitus%20I.jpg
http://www.wikidata.org/entity/Q149315,Silverius,pope,Pope Silverius,https://en.wikipedia.org/wiki/Pope%20Silverius,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Silverius.jpg
http://www.wikidata.org/entity/Q168734,Vigilius,pope,"Pope Vigilius, Pope Vigilius I, Vigilius I",https://en.wikipedia.org/wiki/Pope%20Vigilius,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Virgilio%201678.jpg
http://www.wikidata.org/entity/Q170303,Pelagius I,pope,"Pelagius, Pope Pelagius, Pope Pelagius I",https://en.wikipedia.org/wiki/Pope%20Pelagius%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Pelagius%20I.jpg
http://www.wikidata.org/entity/Q103260,John III,pope,"Ioannes III, Catelinus, Pope John III",https://en.wikipedia.org/wiki/Pope%20John%20III,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Joao%20III.jpg
