country,countryLabel,countryContent,countryAlias,countryWikilink,capital,capitalLabel,capitalContent,capitalAlias,capitalWikilink
http://www.wikidata.org/entity/Q846,Qatar,country in western Asia,"🇶🇦, qa, State of Qatar",https://en.wikipedia.org/wiki/Qatar,http://www.wikidata.org/entity/Q3861,Doha,capital of Qatar,,
http://www.wikidata.org/entity/Q159,Russia,transcontinental country in Eastern Europe and Northern Asia,"ru, Rossiya, RU, Rossija, Rossijskaja Federatsija, Rossiyskaya Federatsiya, Russian Federation",https://en.wikipedia.org/wiki/Russia,http://www.wikidata.org/entity/Q649,Moscow,capital city and the largest city of Russia; separate federal subject of Russia,"City of Moscow, Moscow, Russia, Moscow, Russian Federation, Moscow, Russian SFSR, Moscow, Soviet Union, Moscow, USSR, Moskva, Moskva Federal City, Russia, Moskva, Russia, Москва",
http://www.wikidata.org/entity/Q851,Saudi Arabia,kingdom in Western Asia,"🇸🇦, KSA, sa, Kingdom of Saudi Arabia",https://en.wikipedia.org/wiki/Saudi%20Arabia,http://www.wikidata.org/entity/Q3692,Riyadh,capital of Saudi Arabia,,
http://www.wikidata.org/entity/Q334,Singapore,republic in Southeast Asia,"Republic of Singapore, sg, SG, 🇸🇬",https://en.wikipedia.org/wiki/Singapore,http://www.wikidata.org/entity/Q334,Singapore,republic in Southeast Asia,"Republic of Singapore, sg, SG, 🇸🇬",
http://www.wikidata.org/entity/Q884,South Korea,republic in East Asia,"kr, Korea, ROK, Koryŏ, Republic of Korea, Daehan Minguk, Korea Republic, 🇰🇷, Rep. Korea, Republic of Great Han, Republic of South Korea, S. Korea, The Republic of Great Han, 대한민국, 大韓民國",https://en.wikipedia.org/wiki/South%20Korea,http://www.wikidata.org/entity/Q8684,Seoul,capital city of South Korea,"Hanyang, Gyeongseong, Hanseong, Keijō, Keijou, Namgyeong, Seoul Teukbyeolsi, Sŏul T'ŭkpyŏlsi, Wiryeseong",
http://www.wikidata.org/entity/Q854,Sri Lanka,country in South Asia,"Ceylon, Democratic Socialist Republic of Sri Lanka, lk, Taprobane, 🇱🇰",https://en.wikipedia.org/wiki/Sri%20Lanka,http://www.wikidata.org/entity/Q35381,Colombo,commercial capital of Sri Lanka,,
http://www.wikidata.org/entity/Q854,Sri Lanka,country in South Asia,"Ceylon, Democratic Socialist Republic of Sri Lanka, lk, Taprobane, 🇱🇰",https://en.wikipedia.org/wiki/Sri%20Lanka,http://www.wikidata.org/entity/Q41963,Sri Jayawardenepura Kotte,administrative capital of Sri Lanka,Kotte,
http://www.wikidata.org/entity/Q858,Syria,republic in Western Asia,"sy, Syrian Arab Republic, 🇸🇾",https://en.wikipedia.org/wiki/Syria,http://www.wikidata.org/entity/Q3766,Damascus,capital of Syria,"ash-Sham, City of Jasmine",
http://www.wikidata.org/entity/Q863,Tajikistan,republic in Central Asia,"Republic of Tajikistan, tj, 🇹🇯",https://en.wikipedia.org/wiki/Tajikistan,http://www.wikidata.org/entity/Q9365,Dushanbe,capital of Tajikistan,"Stalinabad, Dyushambe",
http://www.wikidata.org/entity/Q869,Thailand,constitutional monarchy in Southeast Asia,"Siam, th, Kingdom of Thailand, 🇹🇭",https://en.wikipedia.org/wiki/Thailand,http://www.wikidata.org/entity/Q1861,Bangkok,capital of Thailand,,
http://www.wikidata.org/entity/Q43,Turkey,country spanning Southeastern Europe and Western Asia,"Republic of Turkey, tr",https://en.wikipedia.org/wiki/Turkey,http://www.wikidata.org/entity/Q3640,Ankara,capital of Turkey,,
http://www.wikidata.org/entity/Q874,Turkmenistan,republic in Central Asia,"tm, Turkmenia, 🇹🇲",https://en.wikipedia.org/wiki/Turkmenistan,http://www.wikidata.org/entity/Q23438,Ashgabat,capital city of Turkmenistan,"'Ishqabad, `Ishqabad, `Ishqábád, Ak-Gaudan, Aschchabad, Asgabat, Ašgabat, Aşgabat, Ashabad, Ashgabad, Ashkabad, Ashkabat, Ashkhabad, Ashqabad, Askabad, Askhabad, Ishqabad, Ishqabat, Poltoratsk, Ашхабад",
http://www.wikidata.org/entity/Q878,United Arab Emirates,monarchy in Southwest Asia,"UAE, Emirates, ae, the Emirates, the U.A.E., the UAE, the United Arab Emirates, U.A.E., 🇦🇪",https://en.wikipedia.org/wiki/United%20Arab%20Emirates,http://www.wikidata.org/entity/Q1519,Abu Dhabi,city and capital of United Arab Emirates,Abū Dhabi,
http://www.wikidata.org/entity/Q265,Uzbekistan,republic in Central Asia,"uz, Republic of Uzbekistan",https://en.wikipedia.org/wiki/Uzbekistan,http://www.wikidata.org/entity/Q269,Tashkent,capital of Uzbekistan,,
http://www.wikidata.org/entity/Q881,Vietnam,republic in Southeast Asia,"Socialist Republic of Vietnam, Viet Nam, vn, 🇻🇳",https://en.wikipedia.org/wiki/Vietnam,http://www.wikidata.org/entity/Q1858,Hanoi,capital of Vietnam,"Tonkin, Thang Long, Dong Do, Ha Noi, Hà Nội",
http://www.wikidata.org/entity/Q805,Yemen,country in Western Asia,"Rep. Yemen, Republic of Yemen, ye, 🇾🇪",https://en.wikipedia.org/wiki/Yemen,http://www.wikidata.org/entity/Q2471,Sana'a,capital city of Yemen,"Sana, Sanaa, Ṣan‘ā’, Sana‘a",
