p,pLabel,pAlias,pContent,pNationality,pWikilink,pPicture
http://www.wikidata.org/entity/Q1446104,James Davison,,Australian racing driver,,https://en.wikipedia.org/wiki/James%20Davison,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Davison%20-%20500%20Festival%20Parade%20-%202015%20-%20Stierch.jpg
http://www.wikidata.org/entity/Q1468945,Jamie Whincup,,Australian racecar driver,,https://en.wikipedia.org/wiki/Jamie%20Whincup,http://commons.wikimedia.org/wiki/Special:FilePath/Jamie%20Whincup%202006%20australian%20grand%20prix%20melbourne.jpg
http://www.wikidata.org/entity/Q1655501,Ian Dyk,,Australian racing driver,,https://en.wikipedia.org/wiki/Ian%20Dyk,http://commons.wikimedia.org/wiki/Special:FilePath/Ian%20Dyk.JPG
http://www.wikidata.org/entity/Q1671065,Mitchell Gilbert,,Racing driver,,https://en.wikipedia.org/wiki/Mitchell%20Gilbert,
http://www.wikidata.org/entity/Q1680206,James Courtney,,Australian racecar driver,,https://en.wikipedia.org/wiki/James%20Courtney,http://commons.wikimedia.org/wiki/Special:FilePath/2002%20James%20Courtney.jpg
http://www.wikidata.org/entity/Q6244605,Mark Winterbottom,,Australian racecar driver,,https://en.wikipedia.org/wiki/Mark%20Winterbottom,http://commons.wikimedia.org/wiki/Special:FilePath/Mark%20Winterbottom%20Sydney%20500%202015.JPG
http://www.wikidata.org/entity/Q6523762,Leo Geoghegan,,Australian racing driver,,https://en.wikipedia.org/wiki/Leo%20Geoghegan,http://commons.wikimedia.org/wiki/Special:FilePath/Leo%20Geoghegan%202011.jpg
http://www.wikidata.org/entity/Q7613627,Steve Pizzati,,Australian racing driver,,https://en.wikipedia.org/wiki/Steve%20Pizzati,
http://www.wikidata.org/entity/Q7614669,Steven Ellery,,Australian racing driver,,https://en.wikipedia.org/wiki/Steven%20Ellery,
http://www.wikidata.org/entity/Q7803870,Tim Macrow,,Australian racing driver,,https://en.wikipedia.org/wiki/Tim%20Macrow,
http://www.wikidata.org/entity/Q22108549,Mitch Martin,,Australian racing driver,,https://en.wikipedia.org/wiki/Mitch%20Martin,
http://www.wikidata.org/entity/Q773871,Ken Kavanagh,"Thomas Kenrick ""Ken"" Kavanagh",Australian motorcycle racer,,https://en.wikipedia.org/wiki/Ken%20Kavanagh,
http://www.wikidata.org/entity/Q912819,Brian Muir,,Australian racing driver,,https://en.wikipedia.org/wiki/Brian%20Muir%20%28racing%20driver%29,http://commons.wikimedia.org/wiki/Special:FilePath/Brian%20Muir%20u.%20Toine%20Hezemans%20%281973-07-06%29.jpg
http://www.wikidata.org/entity/Q963937,Mark Skaife,,Australian racecar driver,,https://en.wikipedia.org/wiki/Mark%20Skaife,http://commons.wikimedia.org/wiki/Special:FilePath/Mark%20Skaife.jpg
http://www.wikidata.org/entity/Q1009304,Geoff Brabham,,Australian racecar driver,,https://en.wikipedia.org/wiki/Geoff%20Brabham,http://commons.wikimedia.org/wiki/Special:FilePath/GeoffBrabham1990.jpg
http://www.wikidata.org/entity/Q452675,Bernard Rubin,,British racing driver,,https://en.wikipedia.org/wiki/Bernard%20Rubin,http://commons.wikimedia.org/wiki/Special:FilePath/Bernard%20Rubin%20at%20the%201928%2024%20Hours%20of%20Le%20Mans%20%28cropped%29.jpg
