country,countryLabel,countryContent,countryAlias,countryWikilink,capital,capitalLabel,capitalContent,capitalAlias,capitalWikilink
http://www.wikidata.org/entity/Q36,Poland,republic in Central-Eastern Europe,"PL, pl, POL, Polska, Republic of Poland",https://en.wikipedia.org/wiki/Poland,http://www.wikidata.org/entity/Q270,Warsaw,capital and largest city of Poland,Warszawa,
http://www.wikidata.org/entity/Q45,Portugal,republic in Southwestern Europe,"PT, Portuguese Republic, pt, 🇵🇹",https://en.wikipedia.org/wiki/Portugal,http://www.wikidata.org/entity/Q597,Lisbon,capital city of Portugal,"Lissabon, Lisboa, Capital of Portugal, Lisboa Municipality, Lisboa, Portugal, Lisbon (Portugal), Lisbon Municipality, Lisbon, Lisboa, Lisbon, Portugal, Lisboner, Lisboners, Lisbonne, Municipality of Lisbon, Parishes of lisbon, Parishes of Lisbon, PTLIS, UN/LOCODE:PTLIS",
http://www.wikidata.org/entity/Q221,Republic of Macedonia,republic in Southeast Europe,"Macedonia, mk, Former Yugoslav Republic of Macedonia, FYR Macedonia, FYROM, The former Yugoslav Republic of Macedonia, 🇲🇰",https://en.wikipedia.org/wiki/Republic%20of%20Macedonia,http://www.wikidata.org/entity/Q384,Skopje,capital city of the Republic of Macedonia,,
http://www.wikidata.org/entity/Q218,Romania,republic in Southeast Europe,"ro, România, Roumania, Rumania",https://en.wikipedia.org/wiki/Romania,http://www.wikidata.org/entity/Q19660,Bucharest,capital of Romania,"Bucuresti, Bucureşti, București, Little Paris, Paris of the East",
http://www.wikidata.org/entity/Q159,Russia,transcontinental country in Eastern Europe and Northern Asia,"ru, Rossiya, RU, Rossija, Rossijskaja Federatsija, Rossiyskaya Federatsiya, Russian Federation",https://en.wikipedia.org/wiki/Russia,http://www.wikidata.org/entity/Q649,Moscow,capital city and the largest city of Russia; separate federal subject of Russia,"City of Moscow, Moscow, Russia, Moscow, Russian Federation, Moscow, Russian SFSR, Moscow, Soviet Union, Moscow, USSR, Moskva, Moskva Federal City, Russia, Moskva, Russia, Москва",
http://www.wikidata.org/entity/Q238,San Marino,republic on the Appenine peninsula,"sm, 🇸🇲",https://en.wikipedia.org/wiki/San%20Marino,http://www.wikidata.org/entity/Q1848,San Marino,capital city of San Marino,,
http://www.wikidata.org/entity/Q403,Serbia,republic in Southeastern Europe,"RKS, 🇷🇸, rss, Serbia Pokraine",https://en.wikipedia.org/wiki/Serbia,http://www.wikidata.org/entity/Q3711,Belgrade,capital city of Serbia,"Beograd, Belgrade, Serbia, City of Belgrade",
http://www.wikidata.org/entity/Q214,Slovakia,republic in Central  Europe,"Slovak Republic, sk, 🇸🇰",https://en.wikipedia.org/wiki/Slovakia,http://www.wikidata.org/entity/Q1780,Bratislava,capital city of Slovakia,"Pressburg, Pozsony",
http://www.wikidata.org/entity/Q215,Slovenia,republic in Central-Eastern-Southern Europe,"si, Republic of Slovenia, Republika Slovenija, Slovenija, 🇸🇮",https://en.wikipedia.org/wiki/Slovenia,http://www.wikidata.org/entity/Q437,Ljubljana,capital of Slovenia,,
http://www.wikidata.org/entity/Q29,Spain,constitutional monarchy in Southwest Europe,"Kingdom of Spain, ES, 🇪🇸, ESP, España",https://en.wikipedia.org/wiki/Spain,http://www.wikidata.org/entity/Q2807,Madrid,capital city of Spain,"Madrid, Spain",
http://www.wikidata.org/entity/Q34,Sweden,constitutional monarchy in Northern Europe,"se, SE, Sverige, Kingdom of Sweden, Konungariket Sverige, Kungariket Sverige",https://en.wikipedia.org/wiki/Sweden,http://www.wikidata.org/entity/Q1754,Stockholm,capital of Sweden,"Estocolmo, Tukholma",
http://www.wikidata.org/entity/Q39,Switzerland,federal republic in Western Europe,"Schweiz, CH, SUI, Suisse, Svizzera, Swiss Confederation, 🇨🇭",https://en.wikipedia.org/wiki/Switzerland,http://www.wikidata.org/entity/Q70,Bern,capital of Switzerland and municipality in the canton of Bern,"Berne, Bern BE",
http://www.wikidata.org/entity/Q43,Turkey,country spanning Southeastern Europe and Western Asia,"Republic of Turkey, tr",https://en.wikipedia.org/wiki/Turkey,http://www.wikidata.org/entity/Q3640,Ankara,capital of Turkey,,
http://www.wikidata.org/entity/Q212,Ukraine,country in Eastern Europe,"ua, UA, UKR, Ukrainia",https://en.wikipedia.org/wiki/Ukraine,http://www.wikidata.org/entity/Q1899,Kyiv,capital and the largest city of Ukraine,"Kiev, Kyiw, Kyjiv, Kyjiw, Kyyiv, Киев, Київ",
http://www.wikidata.org/entity/Q145,United Kingdom,constitutional monarchy in Western Europe,"GB, GBR, Great Britain, UK, UKGBNI, United Kingdom of Great Britain and Northern Ireland",https://en.wikipedia.org/wiki/United%20Kingdom,http://www.wikidata.org/entity/Q84,London,capital of England and the United Kingdom,"London, England, London, UK, London, United Kingdom",
http://www.wikidata.org/entity/Q237,Vatican City,country in southern Europe,"Papal State, Vatican, Vatican City State, 🇻🇦",https://en.wikipedia.org/wiki/Vatican%20City,,,,,
